"season","season_name","round_name","round_number","last_updated","conference","position","played","pointsFor","pointsAgainst","minScore","maxScore","avgWinMargin","avgLossMargin","playersUsed","playedThisRound","form","positionChange","team.id","team.providerId","team.name","team.abbreviation","team.nickname","team.teamType","team.club.id","team.club.providerId","team.club.name","team.club.abbreviation","team.club.nickname","quartersWon.winQ1","quartersWon.winQ2","quartersWon.winQ3","quartersWon.winQ4","quartersWon.total","thisSeasonRecord.ladderPosition","thisSeasonRecord.aggregatePoints","thisSeasonRecord.percentage","thisSeasonRecord.winRatio","thisSeasonRecord.winLossRecord.wins","thisSeasonRecord.winLossRecord.losses","thisSeasonRecord.winLossRecord.draws","thisSeasonRecord.winLossRecord.played","thisRoundLastSeason.ladderPosition","thisRoundLastSeason.aggregatePoints","thisRoundLastSeason.percentage","thisRoundLastSeason.winRatio","thisRoundLastSeason.winLossRecord.wins","thisRoundLastSeason.winLossRecord.losses","thisRoundLastSeason.winLossRecord.draws","thisRoundLastSeason.winLossRecord.played","homeRecord.wins","homeRecord.losses","homeRecord.draws","homeRecord.played","lastFiveGamesRecord.wins","lastFiveGamesRecord.losses","lastFiveGamesRecord.draws","lastFiveGamesRecord.played","dayRecord.wins","dayRecord.losses","dayRecord.draws","dayRecord.played","localRecord.wins","localRecord.losses","localRecord.draws","localRecord.played","lastOpponent.id","lastOpponent.providerId","lastOpponent.name","lastOpponent.abbreviation","lastOpponent.nickname","lastOpponent.teamType","lastOpponent.club.id","lastOpponent.club.providerId","lastOpponent.club.name","lastOpponent.club.abbreviation","lastOpponent.club.nickname","nightRecord.wins","nightRecord.losses","nightRecord.draws","nightRecord.played","interstateRecord.wins","interstateRecord.losses","interstateRecord.draws","interstateRecord.played","nextOpponent.id","nextOpponent.providerId","nextOpponent.name","nextOpponent.abbreviation","nextOpponent.nickname","nextOpponent.teamType","nextOpponent.club.id","nextOpponent.club.providerId","nextOpponent.club.name","nextOpponent.club.abbreviation","nextOpponent.club.nickname","thisSeasonRecord.orderedBy","thisRoundLastSeason.orderedBy"
2015,"2015 Toyota AFL Premiership","Round 1",1,"2019-11-27T00:18:09.000+0000","1",1,1,140,63,140,140,77,0,32,TRUE,"W","NONE",1,"CD_T10","Adelaide Crows","ADEL","Crows","MEN",3,"CD_O1","Adelaide Crows","Crows","Crows",1,1,0,1,3,1,4,222.2,0,1,0,0,1,13,0,68.1,0,0,1,0,1,1,0,0,1,1,0,0,1,1,0,0,1,1,0,0,1,10,"CD_T70","Geelong Cats","GEEL","Cats","MEN",15,"CD_O11","Geelong Cats","Cats","Cats",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2015,"2015 Toyota AFL Premiership","Round 1",1,"2019-11-27T00:18:09.000+0000","1",2,1,123,61,123,123,62,0,33,TRUE,"W","NONE",9,"CD_T80","Hawthorn","HAW","Hawks","MEN",16,"CD_O17","Hawthorn","Hawks","Hawks",0,1,1,0,2,2,4,201.6,0,1,0,0,1,4,4,152.7,0,1,0,0,1,1,0,0,1,1,0,0,1,1,0,0,1,1,0,0,1,5,"CD_T30","Carlton","CARL","Blues","MEN",1,"CD_O5","Carlton","Blues","Blues",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2015,"2015 Toyota AFL Premiership","Round 1",1,"2019-11-27T00:18:09.000+0000","1",3,1,105,78,105,105,27,0,38,TRUE,"W","NONE",16,"CD_T120","Richmond","RICH","Tigers","MEN",22,"CD_O25","Richmond","Tigers","Tigers",0,1,1,1,3,3,4,134.6,0,1,0,0,1,10,0,79.3,0,0,1,0,1,NA,NA,NA,NA,1,0,0,1,NA,NA,NA,NA,1,0,0,1,6,"CD_T100","North Melbourne","NMFC","Kangaroos","MEN",20,"CD_O20","North Melbourne","Kangaroos","Kangaroos",1,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2015,"2015 Toyota AFL Premiership","Round 1",1,"2019-11-27T00:18:09.000+0000","1",4,1,115,89,115,115,26,0,39,TRUE,"W","NONE",17,"CD_T90","Melbourne","MELB","Demons","MEN",14,"CD_O18","Melbourne","Demons","Demons",1,1,0,1,3,4,4,129.2,0,1,0,0,1,11,0,75,0,0,1,0,1,1,0,0,1,1,0,0,1,1,0,0,1,1,0,0,1,15,"CD_T1010","GWS Giants","GWS","Giants","MEN",5,"CD_O16","GWS Giants","Giants","Giants",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2015,"2015 Toyota AFL Premiership","Round 1",1,"2019-11-27T00:18:09.000+0000","1",5,1,72,60,72,72,12,0,32,TRUE,"W","NONE",13,"CD_T160","Sydney Swans","SYD","Swans","MEN",24,"CD_O28","Sydney Swans","Swans","Swans",0,1,0,1,2,5,4,120,0,1,0,0,1,14,0,67.7,0,0,1,0,1,1,0,0,1,1,0,0,1,NA,NA,NA,NA,1,0,0,1,4,"CD_T1000","Gold Coast Suns","GCFC","Suns","MEN",9,"CD_O14","Gold Coast Suns","Suns","Suns",1,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2015,"2015 Toyota AFL Premiership","Round 1",1,"2019-11-27T00:18:09.000+0000","1",6,1,86,74,86,86,12,0,36,TRUE,"W","NONE",3,"CD_T40","Collingwood","COLL","Magpies","MEN",12,"CD_O6","Collingwood","Magpies","Magpies",1,1,1,0,3,6,4,116.2,0,1,0,0,1,18,0,39.7,0,0,1,0,1,NA,NA,NA,NA,1,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,12,"CD_T50","Essendon","ESS","Bombers","MEN",10,"CD_O9","Essendon","Bombers","Bombers",1,0,0,1,1,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2015,"2015 Toyota AFL Premiership","Round 1",1,"2019-11-27T00:18:09.000+0000","1",7,1,87,78,87,87,9,0,38,TRUE,"W","NONE",15,"CD_T1010","GWS Giants","GWS","Giants","MEN",5,"CD_O16","GWS Giants","Giants","Giants",1,1,0,0,2,7,4,111.5,0,1,0,0,1,5,4,147.8,0,1,0,0,1,NA,NA,NA,NA,1,0,0,1,1,0,0,1,NA,NA,NA,NA,17,"CD_T90","Melbourne","MELB","Demons","MEN",14,"CD_O18","Melbourne","Demons","Demons",NA,NA,NA,NA,1,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2015,"2015 Toyota AFL Premiership","Round 1",1,"2019-11-27T00:18:09.000+0000","1",8,1,97,87,97,97,10,0,40,TRUE,"W","NONE",8,"CD_T140","Western Bulldogs","WB","Bulldogs","MEN",25,"CD_O31","Western Bulldogs","Bulldogs","Bulldogs",1,0,0,1,2,8,4,111.5,0,1,0,0,1,17,0,51.5,0,0,1,0,1,1,0,0,1,1,0,0,1,NA,NA,NA,NA,1,0,0,1,2,"CD_T20","Brisbane Lions","BL","Lions","MEN",13,"CD_O3","Brisbane Lions","Lions","Lions",1,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2015,"2015 Toyota AFL Premiership","Round 1",1,"2019-11-27T00:18:09.000+0000","1",9,1,75,68,75,75,7,0,38,TRUE,"W","NONE",14,"CD_T60","Fremantle","FRE","Dockers","MEN",6,"CD_O10","Fremantle","Dockers","Dockers",0,1,0,1,2,9,4,110.3,0,1,0,0,1,1,4,252.2,0,1,0,0,1,1,0,0,1,1,0,0,1,NA,NA,NA,NA,1,0,0,1,7,"CD_T110","Port Adelaide","PORT","Power","MEN",19,"CD_O24","Port Adelaide","Power","Power",1,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2015,"2015 Toyota AFL Premiership","Round 1",1,"2019-11-27T00:18:09.000+0000","1",10,1,68,75,68,68,0,7,35,TRUE,"L","NONE",7,"CD_T110","Port Adelaide","PORT","Power","MEN",19,"CD_O24","Port Adelaide","Power","Power",1,0,1,0,2,10,0,90.7,0,0,1,0,1,7,4,137.9,0,1,0,0,1,NA,NA,NA,NA,0,1,0,1,NA,NA,NA,NA,NA,NA,NA,NA,14,"CD_T60","Fremantle","FRE","Dockers","MEN",6,"CD_O10","Fremantle","Dockers","Dockers",0,1,0,1,0,1,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
